"","doid","Term","Synonym","Secondary"
"31012","DOID:1156","chondrocalcinosis","""pseudogout"" EXACT []","DOID:2486"
"31034","DOID:11561","hypertensive retinopathy","NA","NA"
"31037","DOID:11563","retinal vasculitis","""Retinal vasculitis"" EXACT []","NA"
"31041","DOID:11569","neurocirculatory asthenia","""Krishaber's disease"" EXACT []","NA"
"31048","DOID:11572","Listeria meningitis","NA","NA"
"31051","DOID:11573","listeriosis","""Listeria infection"" EXACT []","NA"
"31056","DOID:11574","streptococcal meningitis","NA","NA"
"31059","DOID:11575","obsolete pneumococcal meningitis","""Pneumococcal meningitis (disorder)"" EXACT []","NA"
"31064","DOID:11577","Cauda equina syndrome","NA","NA"
"31067","DOID:11578","obsolete Escherichia coli meningitis","""Meningitis due to E. coli"" EXACT []","NA"
"31072","DOID:11581","phlyctenulosis","""Strumous ophthalmia"" EXACT []","NA"
"31077","DOID:11582","obsolete syphilitic aortitis","""Syphilitic aortitis (disorder)"" EXACT []","NA"
"31082","DOID:11584","obsolete acute schizophrenic episode in remission","NA","NA"
"31085","DOID:11589","Riley-Day syndrome","""HSAN III"" EXACT []","NA"
"31091","DOID:1159","functional gastric disease","NA","NA"
"31094","DOID:11593","bladder lateral wall cancer","""malignant neoplasm of lateral wall of urinary bladder"" EXACT []","NA"
"31099","DOID:11594","ring staphyloma","NA","NA"
"31102","DOID:11595","scleral staphyloma","""Scleral ectasia"" EXACT []","NA"
"31106","DOID:11597","obsolete cold injury syndrome of newborn","""Cold injury syndrome of newborn (disorder)"" EXACT []","NA"
"31110","DOID:11599","Frey syndrome","""gustatory sweating"" EXACT []","NA"
"31116","DOID:116","pericardium cancer","""Pericardial tumor"" EXACT []","DOID:5780"
"31123","DOID:11600","obsolete secondary malignant neoplasm of lymph nodes of multiple site","""secondary malignant neoplasm of lymph nodes of multiple sites (disorder)"" EXACT []","NA"
"31130","DOID:11603","infant gynecomastia","""Neonatal gynaecomastia"" EXACT []","NA"
"31135","DOID:11604","obsolete idiopathic hydrops fetalis","""Perinatal skin prob. NOS"" EXACT []","NA"
"31144","DOID:11606","obsolete ileal disease","NA","NA"
"31147","DOID:11607","obsolete candidal meningitis","""Candidal meningitis (disorder)"" EXACT []","NA"
"31152","DOID:11608","fungal meningitis","NA","NA"
"31155","DOID:11612","polycystic ovary syndrome","""Stein-Leventhal syndrome"" EXACT []","NA"
"31166","DOID:11613","hyperandrogenism","""hyperandrogenization syndrome"" EXACT []","NA"
"31170","DOID:11615","penile cancer","""penile neoplasm"" EXACT []","DOID:11614"
"31179","DOID:11623","dental pulp necrosis","""pulp necrosis"" EXACT []","NA"
"31185","DOID:11624","penile benign neoplasm","""Penile tumor"" EXACT []","NA"
"31190","DOID:11629","pelvic muscle wasting","NA","NA"
"31193","DOID:11633","thyroid hormone resistance syndrome","""Thyroid hormone responsiveness defect"" EXACT []","NA"
"31201","DOID:11634","myxedema","NA","NA"
"31204","DOID:11637","accommodative spasm","""Spasm of accommodation"" EXACT []","NA"
"31208","DOID:11638","presbyopia","NA","NA"
"31211","DOID:11649","obsolete transitory tachypnea of newborn","""Transitory tachypnea of newborn (disorder)"" EXACT []","NA"
"31216","DOID:11650","obsolete bronchopulmonary dysplasia","""Perinatal bronchopulmonary dysplasia"" EXACT []","DOID:11651"
"31223","DOID:11653","conjunctival deposit","NA","NA"
"31226","DOID:11654","obsolete nevus of ota","""primary acquired melanosis of conjunctiva (disorder)"" EXACT []","NA"
"31236","DOID:11656","cicatricial pemphigoid","""ocular pemphigus"" EXACT []","DOID:11655"
"31245","DOID:1166","palindromic rheumatism","""Hench-Rosenberg syndrome"" EXACT []","DOID:13771"
"31258","DOID:11661","blue color blindness","""Tritanopia"" EXACT []","NA"
"31263","DOID:11662","obsolete color vision defect","NA","NA"
"31266","DOID:11664","nephrosclerosis","""renal sclerosis"" EXACT []","NA"
"31270","DOID:11665","Patau syndrome","""trisomy 13"" EXACT []","NA"
"31276","DOID:11668","hypopigmentation of eyelid","NA","NA"
"31279","DOID:11669","hypertrichosis of eyelid","NA","NA"
"31282","DOID:11671","hypotrichosis of eyelid","NA","NA"
"31285","DOID:11678","onchocerciasis","""volvulosis"" EXACT []","NA"
"31291","DOID:1168","familial hyperlipidemia","""hyperlipidaemia"" RELATED []","DOID:3147"
"31298","DOID:11680","obsolete ocular onchocerciasis","""river blindness"" EXACT []","NA"
"31304","DOID:11683","obsolete glaucoma associated with systemic syndromes","""Glaucoma associated with systemic syndromes (disorder)"" EXACT []","NA"
"31308","DOID:11684","melanoacanthoma","NA","NA"
"31311","DOID:11685","inflamed seborrheic keratosis","NA","NA"
"31314","DOID:11693","acute apical periodontitis","""acute apical periodontitis of pulpal origin"" EXACT []","NA"
"31318","DOID:11695","portal vein thrombosis","NA","NA"
"31321","DOID:11696","obsolete chronic hypomanic disorder","""chronic hypomanic personality disorder"" EXACT []","NA"
"31325","DOID:11699","obsolete intrathoracic lymph node tuberculosis","""Tuberculosis of intrathoracic lymph nodes, unspecified examination"" EXACT []","NA"
"31331","DOID:117","heart cancer","""Tumour of heart"" EXACT []","DOID:9918"
"31339","DOID:11701","selective IgA deficiency disease","""Selective immunoglobulin A deficiency"" EXACT []","NA"
"31346","DOID:11702","dysgammaglobulinemia","""Dysgammaglobulinemia"" EXACT []","NA"
"31350","DOID:11705","obsolete impaired renal function disease","NA","NA"
"31353","DOID:1171","hyperlipoproteinemia type V","""Fredrickson type V lipaemia"" EXACT []","NA"
"31359","DOID:11711","obsolete Pregnancy in Diabetics","""pregnancy diabetes"" EXACT []","NA"
"31365","DOID:11712","lipoatrophic diabetes mellitus","""lipoatrophic diabetes"" EXACT []","NA"
"31369","DOID:11713","diabetic angiopathy","""Diabetic vascular disorder"" EXACT []","DOID:10182"
"31375","DOID:11714","gestational diabetes","""Maternal gestational diabetes mellitus"" EXACT []","NA"
"31381","DOID:11716","prediabetes syndrome","""prediabetic state"" EXACT []","NA"
"31387","DOID:11717","neonatal diabetes","""neonatal diabetes mellitus"" EXACT []","NA"
"31392","DOID:11718","antidepressant type abuse","NA","NA"
"31395","DOID:11719","oculopharyngeal muscular dystrophy","""Oculopharyngeal muscular dystrophy"" EXACT []","NA"
"31400","DOID:1172","hyperlipoproteinemia type IV","""VLDL hyperlipoproteinemia"" EXACT []","DOID:0050527"
"31410","DOID:11720","distal myopathy","""Miyoshi muscular dystrophy"" EXACT []","NA"
"31415","DOID:11721","glycogen storage disease VII","""phosphofructokinase myopathy"" EXACT []","NA"
"31422","DOID:11722","myotonic dystrophy type 1","""Steinert disease"" EXACT []","NA"
"31429","DOID:11723","Duchenne muscular dystrophy","""Muscular dystrophy, Duchenne"" EXACT []","NA"
"31433","DOID:11724","limb-girdle muscular dystrophy","""limb girdle muscular dystrophy"" EXACT []","NA"
"31439","DOID:11725","Cornelia de Lange syndrome","""De Lange syndrome"" EXACT []","NA"
"31444","DOID:11726","Emery-Dreifuss muscular dystrophy","""EDMD"" EXACT []","NA"
"31448","DOID:11727","facioscapulohumeral muscular dystrophy","""Muscular dystrophy, Landouzy-Dejerine"" EXACT []","NA"
"31454","DOID:11729","Lyme disease","""Neurological Lyme disease"" EXACT []","DOID:12233"
"31464","DOID:11730","obsolete Borrelia infectious disease","""Borreliosis, NOS"" EXACT []","NA"
"31470","DOID:11732","obsolete syphilitic myocarditis","""Syphilitic myocarditis (disorder)"" EXACT []","NA"
"31474","DOID:11733","obsolete syphilitic aortic aneurysm","""Syphilitic aneurysm of aorta (disorder)"" EXACT []","NA"
"31479","DOID:11734","obsolete syphilitic pericarditis","""Syphilitic pericarditis (disorder)"" EXACT []","NA"
"31483","DOID:11735","obsolete single manic episode in full remission","""Single manic episode in full remission (disorder)"" EXACT []","NA"
"31488","DOID:11736","odontoclasia","NA","NA"
"31491","DOID:11741","obsolete Chlamydophila pneumoniae pneumonia","""Pneumonia due to Chlamydia"" EXACT []","NA"
"31496","DOID:11746","parametrium malignant neoplasm","NA","NA"
"31499","DOID:11747","uterine adnexa cancer","NA","DOID:9596"
"31503","DOID:11748","round ligament malignant neoplasm","""malignant neoplasm of round ligament of uterus"" EXACT []","NA"
"31508","DOID:11750","Bordetella parapertussis whooping cough","NA","NA"
"31511","DOID:11752","acute endophthalmitis","NA","NA"
"31514","DOID:11753","obsolete biliary calculus with acute cholecystitis","NA","NA"
"31517","DOID:11754","siderosis of eye","""Siderosis of globe"" EXACT []","NA"
"31521","DOID:11755","choledocholithiasis","NA","NA"
"31524","DOID:11756","obsolete calculus of bile duct with acute cholecystitis","""calculus of bile duct with acute cholecystitis, with obstruction"" EXACT []","DOID:13666"
"31533","DOID:11758","iron deficiency anemia","NA","NA"
"31536","DOID:11759","hypochromic anemia","""ANEMIA HYPOCHROMIC"" EXACT []","NA"
"31540","DOID:1176","bronchial disease","NA","DOID:12322"
"31545","DOID:11760","Kohler's disease","""Kohler disease"" EXACT []","NA"
"31550","DOID:11766","blind hypotensive eye","NA","NA"
"31553","DOID:11770","obsolete hypersecretion of testicular hormones","""testicular hyperfunction (disorder)"" EXACT []","NA"
"31558","DOID:11771","spontaneous ocular nystagmus","""visual deprivation nystagmus"" EXACT []","NA"
"31564","DOID:11772","leukocoria","""Leucocoria"" EXACT []","NA"
"31568","DOID:11775","obsolete hereditary trophedema","""Hereditary trophoedeme"" EXACT []","NA"
"31576","DOID:11776","absolute glaucoma","""blind hypertensive eye"" EXACT []","NA"
"31580","DOID:11781","regular astigmatism","NA","NA"
"31583","DOID:11782","astigmatism","NA","NA"
"31586","DOID:11783","necrosis of ear ossicle","""partial loss or necrosis of ear ossicles"" EXACT []","NA"
"31590","DOID:11786","splenic sequestration","NA","NA"
"31593","DOID:11787","chronic congestive splenomegaly","NA","NA"
"31596","DOID:11793","phthisical cornea","NA","NA"
"31599","DOID:11797","chronic laryngitis","NA","NA"
"31602","DOID:118","pericardial effusion","NA","NA"
"31605","DOID:11801","protein-energy malnutrition","NA","NA"
"31608","DOID:11802","obsolete protein deficiency","""protein deficiency"" EXACT []","NA"
"31612","DOID:11806","obsolete macrodactylia of fingers","""Macrodactylia of fingers (disorder)"" EXACT []","NA"
"31618","DOID:11809","bladder neck cancer","""malignant tumor of bladder neck"" EXACT []","NA"
"31623","DOID:11810","obsolete metastatic neoplasm to the bladder","""secondary malignant neoplasm of bladder (disorder)"" EXACT []","NA"
"31628","DOID:11811","urinary bladder posterior wall cancer","""malignant neoplasm of posterior wall of urinary bladder"" EXACT []","NA"
"31632","DOID:11812","bladder sarcoma","""sarcoma of the urinary bladder"" EXACT []","NA"
"31637","DOID:11813","bladder trigone cancer","""malignant tumor of trigone of urinary bladder"" EXACT []","NA"
"31643","DOID:11814","urinary bladder anterior wall cancer","""malignant neoplasm of anterior wall of urinary bladder"" EXACT []","NA"
"31647","DOID:11815","obsolete recurrent malignant bladder neoplasm","NA","NA"
"31650","DOID:11816","vitreous syneresis","""Vitreous degeneration"" EXACT []","NA"
"31654","DOID:11817","urachus cancer","""malignant tumor of urachus"" EXACT []","NA"
"31658","DOID:11818","ureteric orifice cancer","""Orifice of the Ureter"" EXACT []","NA"
"31664","DOID:11819","ureter cancer","""malignant ureteral tumor"" EXACT []","NA"
"31669","DOID:11820","bladder dome cancer","""Superior Surface of bladder"" EXACT []","NA"
"31676","DOID:11821","bladder lymphoma","""Lymphoma of the urinary bladder"" EXACT []","NA"
"31680","DOID:11823","hepatorenal syndrome","NA","NA"
"31683","DOID:11824","multicentric reticulohistiocytosis","""Multicentric reticulohistiocytosis"" EXACT []","NA"
"31688","DOID:11828","obsolete visual cortex disorder due to vascular disorder","NA","NA"
"31691","DOID:11829","degenerative myopia","""progressive high myopia"" EXACT []","NA"
"31698","DOID:1183","obsolete nephrotic syndrome with lesion of membranoproliferative glomerulonephritis","""Nephrotic syndrome with lesion of membranoproliferative glomerulonephritis"" EXACT []","NA"
"31702","DOID:11830","myopia","""short-sightedness"" EXACT []","NA"
"31708","DOID:11831","cortical blindness","NA","NA"
"31711","DOID:11832","visual epilepsy","""epilepsy, visual"" EXACT []","NA"
"31715","DOID:11836","clubfoot","""Equinovarus deformity of foot"" EXACT []","DOID:0001874"
"31723","DOID:11837","obsolete malignant neoplasm of scapula and long bones of upper limb","NA","NA"
"31726","DOID:11838","penis sarcoma","""sarcoma of penis"" EXACT []","NA"
"31730","DOID:11839","glans penis cancer","""malignant tumour of glans penis"" EXACT []","NA"
"31736","DOID:1184","nephrotic syndrome","NA","NA"
"31739","DOID:11840","coronary artery vasospasm","""Coronary Vasospasm"" EXACT []","NA"
"31744","DOID:11843","coronary artery anomaly","""Coronary artery anomaly, congenital"" EXACT []","NA"
"31751","DOID:11847","coronary thrombosis","""Coronary artery thrombosis"" EXACT []","NA"
"31755","DOID:11849","obsolete degenerative changes of ciliary body","""degenerative changes of ciliary body (disorder)"" EXACT []","NA"
"31760","DOID:11850","transient refractive change","NA","NA"
"31763","DOID:11851","indeterminate leprosy","""Uncharacteristic leprosy"" EXACT []","NA"
"31768","DOID:11852","obsolete aortic valve syphilitic endocarditis","""Syphilitic endocarditis of aortic valve (disorder)"" EXACT []","NA"
"31772","DOID:11853","monocular exotropia","NA","NA"
"31775","DOID:11854","obsolete monocular exotropia with A pattern","""Monocular exotropia with A pattern (disorder)"" EXACT []","NA"
"31779","DOID:11855","obsolete intermittent monocular exotropia","""Monocular intermittent exotropia (disorder)"" EXACT []","NA"
"31785","DOID:11856","obsolete monocular exotropia with V pattern","""Monocular exotropia with V pattern (disorder)"" EXACT []","NA"
"31789","DOID:11861","obsolete prolonged pregnancy","NA","NA"
"31792","DOID:11862","obsolete late pregnancy","NA","NA"
"31795","DOID:11864","peripheral focal chorioretinitis","NA","NA"
"31798","DOID:11868","obsolete chronic erythremia","NA","NA"
"31801","DOID:1187","tibial neuropathy","""Tibial neuropathy"" EXACT []","NA"
"31806","DOID:11870","Pick's disease","""PICK DISEASE OF BRAIN"" EXACT []","NA"
"31813","DOID:11871","macular keratitis","NA","NA"
"31816","DOID:11872","obsolete Staphylococcus aureus septicemia","""Septicemia due to Staphylococcus aureus (disorder)"" EXACT []","NA"
"31820","DOID:11873","obsolete staphylococcal septicemia","NA","NA"
"31823","DOID:11874","abnormal threshold of rods","""abnormal dark adaptation curve"" EXACT []","NA"
"31827","DOID:11875","denture stomatitis","""Denture sore mouth"" EXACT []","NA"
"31831","DOID:1188","mononeuropathy","NA","NA"
"31834","DOID:11885","ureteral benign neoplasm","""ureteral tumor"" EXACT []","NA"
"31839","DOID:11887","ureter leiomyoma","""ureteral leiomyoma"" EXACT []","NA"
"31843","DOID:11888","schwannoma of ureter","""ureteral schwannoma"" EXACT []","NA"
"31847","DOID:11889","female breast nipple and areola cancer","""malignant neoplasm of nipple or areola of female breast"" EXACT []","NA"
"31852","DOID:11892","obsolete Amoebozoa infectious disease","""sarcodina"" RELATED []","NA"
"31856","DOID:11893","obsolete cutaneous amebiasis","""Amoebic skin ulceration"" EXACT []","NA"
"31863","DOID:11896","obsolete Acanthamoeba keratitis","""Acanthamoeba keratitis (disorder)"" EXACT []","NA"
"31868","DOID:11897","obsolete Blastocystis hominis infectious disease","NA","DOID:0050248"
"31872","DOID:119","vaginal cancer","""vaginal tumor"" EXACT []","DOID:1902"
"31882","DOID:11902","obsolete cerebral amebiasis","""Amebic brain abscess (disorder)"" EXACT []","NA"
"31888","DOID:11905","labium majus cancer","""malignant tumor of Labia Majora"" EXACT []","NA"
"31893","DOID:11907","ecthyma","NA","NA"
"31896","DOID:11914","gastroparesis","""Gastroparesis syndrome"" EXACT []","NA"
"31902","DOID:11917","tinea cruris","""Dhobie itch"" EXACT []","NA"
"31909","DOID:1192","peripheral nervous system neoplasm","""tumor of PNS"" EXACT []","DOID:3194"
"31916","DOID:11920","tracheal cancer","NA","NA"
"31919","DOID:11934","head and neck cancer","""tumor of head and neck"" EXACT []","NA"
"31926","DOID:11939","obsolete schizo-affective type schizophrenia subchronic state","NA","NA"
"31929","DOID:11943","obsolete Trichomonas vaginitis","""vaginal trichomoniasis (disorder)"" EXACT []","NA"
"31939","DOID:11944","obsolete Trichomonas prostatitis","""Trichomonal prostatitis (disorder)"" EXACT []","NA"
"31944","DOID:11945","obsolete Trichomonas cystitis","""Trichomonal cystitis (disorder)"" EXACT []","NA"
"31948","DOID:11946","obsolete habitual abortion","""recurrent miscarriage"" EXACT []","NA"
"31958","DOID:11947","obsolete recurrent major depression in complete remission","""recurrent major depressive episodes, in full remission (disorder)"" EXACT []","NA"
"31964","DOID:11949","Creutzfeldt-Jakob disease","""Transmissible virus dementia"" EXACT []","NA"
"31974","DOID:1195","ischemic neuropathy","""Ischemic peripheral neuropathy"" EXACT []","NA"
"31978","DOID:11950","obsolete Congenital cardiovascular disorder complicating pregnancy, childbirth, or the puerperium","""postpartum congenital cardiovascular disorder of mother"" EXACT []","DOID:11953"
"31985","DOID:11952","obsolete Congenital cardiovascular disorder of mother, with delivery","NA","NA"
"31988","DOID:11954","obsolete psychosexual dysfunction with inhibited sexual excitement","""Psychosexual Dysfunction with Inhibited Sexual Excitement"" EXACT []","NA"
"31992","DOID:11955","obsolete malnutrition of moderate degree","NA","NA"
"31995","DOID:11963","esophagitis","""acute esophagitis"" EXACT []","DOID:11962"
"32000","DOID:11964","obsolete Histoplasma capsulatum retinitis","""Histoplasma capsulatum with retinitis (disorder)"" EXACT []","NA"
"32004","DOID:11968","postmenopausal atrophic vaginitis","""Senile vaginitis"" EXACT []","NA"
"32009","DOID:11970","obsolete symptomatic menopausal or female climacteric state","NA","NA"
"32012","DOID:11971","synostosis","NA","NA"
"32015","DOID:11975","coloboma of optic nerve","""Morning glory syndrome"" EXACT []","NA"
"32020","DOID:11976","botulism","""Intoxication with Clostridium botulinum toxin"" EXACT []","NA"
"32028","DOID:11977","obsolete disorder of magnesium metabolism","""Magnesium disorder"" EXACT []","NA"
"32035","DOID:11978","obsolete chronic pyelonephritis without lesion of renal medullary necrosis","NA","NA"
"32038","DOID:11981","morbid obesity","""Severe obesity"" EXACT []","NA"
"32042","DOID:11983","Prader-Willi syndrome","""Prader Willi syndrome"" EXACT []","NA"
"32046","DOID:11984","hypertrophic cardiomyopathy","""hypertrophic obstructive cardiomyopathy"" EXACT []","DOID:11986"
"32052","DOID:11987","obsolete anorectal gonorrhea","""gonococcal proctitis"" EXACT []","NA"
"32057","DOID:11988","conjunctival concretion","NA","NA"
"32060","DOID:11990","ulceroglandular tularemia","""Ulceroglandular tularemia"" EXACT []","NA"
"32064","DOID:11991","osteopoikilosis","NA","NA"
"32067","DOID:11994","atrophy of testis","NA","NA"
"32070","DOID:11996","spermatic cord torsion","""Torsion of testis"" EXACT []","NA"
"32076","DOID:11997","spermatocele","NA","NA"
"32079","DOID:120","female reproductive organ cancer","""malignant neoplasm of female genital organ"" EXACT []","DOID:1281"
"32087","DOID:12000","obsolete secondary malignant neoplasm of trachea","""secondary malignant neoplasm of trachea (disorder)"" EXACT []","NA"
"32092","DOID:12001","tracheal lymphoma","""Lymphoma of Trachea"" EXACT []","NA"
"32097","DOID:12002","trachea sarcoma","""sarcoma of the trachea"" EXACT []","NA"
"32101","DOID:12003","trachea squamous cell carcinoma","""Tracheal Epidermoid carcinoma"" EXACT []","NA"
"32105","DOID:1201","trigeminal nerve neoplasm","""tumor of Trigeminal nerve"" EXACT []","NA"
"32110","DOID:12010","anterior ischemic optic neuropathy","""Ischemic optic neuropathy"" EXACT []","NA"
"32114","DOID:12016","frontal lobe neoplasm","""tumor of Frontal Lobe"" EXACT []","DOID:12015"
"32121","DOID:12017","obsolete group B streptococcal pneumonia","""Pneumonia due to Streptococcus Group B"" EXACT []","NA"
"32127","DOID:12019","obsolete group A streptococcal pneumonia","""pneumonia due to streptococcus group A"" EXACT []","NA"
"32131","DOID:12020","obsolete malignant neoplasm of corpus uteri, except isthmus","""malignant neoplasm of corpus uteri, excluding isthmus (disorder)"" EXACT []","NA"
"32135","DOID:12021","obsolete leukemic reticuloendotheliosis of intrathoracic lymph nodes","""Leukemic reticuloendotheliosis of intrathoracic lymph nodes [dup] (disorder)"" EXACT []","NA"
"32141","DOID:12022","obsolete spontaneous abortion complicated by genital tract and pelvic infectious disease","""spontaneous abortion, unspecified, complicated by genital tract and pelvic infection"" EXACT []","NA"
"32145","DOID:12028","Conn's syndrome","""primary hyperaldosteronism"" EXACT []","NA"
"32151","DOID:12029","sympathetic ophthalmia","""Sympathetic uveitis"" EXACT []","NA"
"32155","DOID:1203","drug-induced mental disorder","NA","NA"
"32158","DOID:12030","panuveitis","""Diffuse uveitis"" EXACT []","NA"
"32162","DOID:1204","obsolete arthropathy due to hypersensitivity reaction","""Arthropathy associated with hypersensitivity reaction"" EXACT []","NA"
"32167","DOID:12040","obsolete immune hydrops fetalis","""Hydrops fetalis due to isoimmunization [dup] (disorder)"" EXACT []","NA"
"32174","DOID:12043","kernicterus due to isoimmunization","""Kernicterus due to isoimmunization"" EXACT []","NA"
"32178","DOID:1205","allergic disease","""hypersensitivity reaction type I disease"" EXACT []","NA"
"32184","DOID:12052","obsolete cryptococcal meningitis","""Cryptococcal meningitis (disorder)"" EXACT []","NA"
"32189","DOID:12053","cryptococcosis","""torulosis"" EXACT []","NA"
"32198","DOID:12054","obsolete Trypanosoma meningitis","""Trypanosomiasis with meningitis (disorder)"" EXACT []","NA"
"32204","DOID:12055","sarcoid meningitis","""Sarcoid meningitis"" EXACT []","NA"
"32209","DOID:12056","obsolete meningitis with clear cerebrospinal fluid","""Nonpyogenic meningitis (disorder)"" EXACT []","NA"
"32215","DOID:12058","obsolete Fetal-maternal hemorrhage affecting management of mother","""Fetal-maternal hemorrhage, with delivery"" EXACT []","DOID:12059"
"32220","DOID:1206","Rett syndrome","""Rett's disorder"" EXACT []","NA"
"32225","DOID:12061","obsolete fetal blood loss","""Fetal haemorrhage"" EXACT []","NA"
"32232","DOID:12064","mediastinum neurofibroma","""Neurofibroma of mediastinum"" EXACT []","NA"
"32236","DOID:12065","obsolete ganglioneuroma of the mediastinum","""Ganglioneuroma of mediastinum"" EXACT []","NA"
"32240","DOID:12070","Dieulafoy lesion","""dieulafoy lesion (hemorrhagic) of stomach and duodenum"" EXACT []","DOID:11791"
"32246","DOID:12072","pylorospasm","NA","NA"
"32249","DOID:12076","obsolete interstitial emphysema and related conditions of newborn","NA","NA"
"32252","DOID:12084","transient arthropathy","""Transient arthropathy involving upper arm"" EXACT []","DOID:9424"
"32269","DOID:12087","deep corneal vascularisation","""Deep vascularization of cornea"" EXACT []","NA"
"32273","DOID:1209","nutritional optic neuropathy","""Nutritional optic neuropathy"" EXACT []","NA"
"32277","DOID:12091","obsolete vitamin A deficiency with corneal xerosis","""vitamin A deficiency with corneal xerosis (disorder)"" EXACT []","NA"
"32281","DOID:12092","obsolete Galactorrhea associated with childbirth","NA","NA"
"32284","DOID:12096","sodoku disease","""Spirillosis"" RELATED []","NA"
"32289","DOID:12097","obsolete rat-bite fever","""Unspecified rat-bite fever"" EXACT []","NA"
"32297","DOID:12098","trigeminal neuralgia","""Trigeminal neuralgia"" EXACT []","NA"
"32303","DOID:121","vaginal disease","NA","NA"
"32306","DOID:1210","optic neuritis","NA","NA"
"32309","DOID:12104","obsolete vitamin A deficiency with corneal xerosis and ulcer","""vitamin A deficiency with corneal xerosis and ulcer (disorder)"" EXACT []","NA"
"32315","DOID:12105","inflammatory spondylopathy","""Inflammatory spondylopathy in disease classified elsewhere"" EXACT []","NA"
"32321","DOID:12106","obsolete tricuspid valve syphilitic endocarditis","""Syphilitic endocarditis of tricuspid valve (disorder)"" EXACT []","NA"
"32325","DOID:12107","obsolete primary retinal cyst","""primary retinal cysts"" EXACT []","NA"
"32330","DOID:12108","bullous retinoschisis","NA","NA"
"32333","DOID:12111","obsolete vitamin A deficiency with xerophthalmic corneal scar","""vitamin A deficiency with xerophthalmic scars of cornea (disorder)"" EXACT []","NA"
"32339","DOID:12113","obsolete nerve deafness","""neural hearing loss (finding)"" EXACT []","NA"
"32345","DOID:12115","obsolete streptococcal pharyngitis","""Streptococcal sore throat NOS (disorder)"" EXACT []","NA"
"32353","DOID:12117","pulmonary alveolar microlithiasis","NA","NA"
"32356","DOID:12118","pulmonary hemosiderosis","""Idiopathic pulmonary hemosiderosis"" EXACT []","DOID:0050330"
"32363","DOID:12119","hemosiderosis","""haemosiderosis"" EXACT []","NA"
"32367","DOID:12120","pulmonary alveolar proteinosis","NA","NA"
"32370","DOID:12121","obsolete secondary syphilitic periostitis","""secondary syphilitic periostitis (disorder)"" EXACT []","NA"
"32374","DOID:12123","postinflammatory pulmonary fibrosis","""Postinflammatory pulmonary fibrosis"" EXACT []","NA"
"32379","DOID:12124","episcleritis periodica fugax","NA","NA"
"32382","DOID:12125","neurotrophic keratoconjunctivitis","NA","NA"
"32385","DOID:12128","pica disease","NA","NA"
"32388","DOID:12129","bulimia nervosa","""hyperorexia nervosa"" EXACT []","NA"
"32392","DOID:1213","obsolete Tympanosclerosis of tympanic membrane and ossicles","""Tympanosclerosis involving tympanic membrane AND ear ossicles (disorder)"" EXACT []","NA"
"32397","DOID:12132","granulomatosis with polyangiitis","""Wegener granulomatosis, formerly"" EXACT []","NA"
"32402","DOID:12133","obsolete Yersinia enterocolitica intestinal infectious disease","""Yersinia enterocolitis"" EXACT []","NA"
"32409","DOID:12134","factor VIII deficiency","""Subhemophilia"" EXACT []","NA"
"32416","DOID:12135","obsolete acquired factor VIII deficiency","""acquired factor VIII deficiency disease (disorder)"" EXACT []","NA"
"32420","DOID:12136","obsolete acquired coagulation factor deficiency","""acquired coagulation factor deficiency NOS (disorder)"" EXACT []","NA"
"32426","DOID:12139","dysthymic disorder","""dysthymia"" EXACT []","NA"
"32430","DOID:1214","tympanosclerosis","NA","NA"
"32433","DOID:12140","Chagas disease","""chagas' disease with other organ involvement"" EXACT []","DOID:0050020"
"32444","DOID:12141","obsolete adenovirus meningitis","""non-arthropod-borne meningitis due to adenovirus"" RELATED []","NA"
"32448","DOID:12143","neurogenic bladder","""Neuropathic bladder"" EXACT []","NA"
"32454","DOID:12144","low compliance bladder","""Low bladder compliance"" EXACT []","NA"
"32461","DOID:12145","detrusor sphincter dyssynergia","NA","NA"
"32464","DOID:12148","alveolar echinococcosis","""small fox tapeworm"" EXACT []","DOID:2774"
"32473","DOID:1215","obsolete Tympanosclerosis of tympanic membrane only","""Tympanosclerosis involving tympanic membrane only (disorder)"" EXACT []","NA"
"32478","DOID:12150","obsolete calculus of gallbladder with acute cholecystitis, with obstruction","""gallbladder calculus with acute cholecystitis and obstruction NOS (disorder)"" EXACT []","NA"
"32484","DOID:12151","obsolete currently pregnant habitual aborter","NA","NA"
"32487","DOID:12155","lymphocytic choriomeningitis","""Lymphocytic meningoencephalitis"" EXACT []","DOID:10662"
"32495","DOID:12156","arachnoiditis","NA","NA"
"32498","DOID:12157","aseptic meningitis","""acute aseptic meningitis"" EXACT []","NA"
"32502","DOID:12161","peripheral retinal degeneration","""peripheral degeneration of retina"" EXACT []","NA"
"32506","DOID:12162","pseudoretinitis pigmentosa","""secondary pigmentary retinal degeneration"" EXACT []","NA"
"32511","DOID:12163","senile reticular retinal degeneration","""Senile reticular degeneration of retina"" EXACT []","NA"
"32515","DOID:12164","Blessig's cysts","""Microcystoid retinal degeneration"" EXACT []","NA"
"32522","DOID:12165","retinal lattice degeneration","""Palisade degeneration of retina"" EXACT []","NA"
"32526","DOID:12166","cobblestone retinal degeneration","""Paving stone retinal degeneration"" EXACT []","NA"
"32531","DOID:12167","secondary vitreoretinal degeneration","NA","NA"
"32534","DOID:12168","ulnar nerve lesion","""Lesion of ulnar nerve"" EXACT []","NA"
"32538","DOID:12169","carpal tunnel syndrome","""Median nerve entrapment"" EXACT []","NA"
